,last_move,predicted_position,target_position,shape,region,color,steps,time,total_steps_taken
0,grip,[9 9],[10 12],T,center,cyan,1,1.4032509326934814,['grip']
1,right,[27  9],[15 16],T,bottom right,blue,20,46.47872352600098,"['right', 'right', 'right', 'right', 'right.', 'right', 'down.', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
2,grip,[10  9],[11 10],T,center,magenta,5,11.049964904785156,"['right', 'grip.', 'grip.', 'grip.', 'grip']"
3,down,[ 9 29],[ 5 15],T,bottom left,magenta,20,49.14258861541748,"['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down']"
4,right.,[19  4],[15  2],Z,top right,blue,20,35.6260187625885,"['up', 'right.', 'right', 'up', 'up', 'right', 'up', 'right', 'right', 'right', 'right', 'right.', 'right', 'right.', 'up', 'right.', 'right', 'right', 'right', 'right.']"
5,grip,[9 9],[6 8],T,center,green,4,7.5772223472595215,"['grip.', 'grip.', 'grip.', 'grip']"
6,right,[18  0],[16  5],T,top right,yellow,20,35.71376895904541,"['up', 'right', 'up', 'right.', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'up', 'right', 'up', 'right.', 'up', 'right', 'right', 'right', 'right']"
7,left,[-9  9],[3 7],T,left,yellow,20,44.30291938781738,"['left', 'left', 'left', 'left', 'left.', 'left', 'left', 'left', 'left', 'left', 'left.', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left']"
8,right,[24  9],[13 11],W,right,green,20,37.264161825180054,"['right', 'right', 'right.', 'right', 'right.', 'right.', 'right', 'right', 'right', 'right', 'right.', 'right', 'right', 'right', 'right', 'right', 'right.', 'right', 'right', 'right']"
9,right,[27  9],[14  4],P,top right,magenta,20,28.04606318473816,"['right', 'right.', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right.', 'right', 'right', 'right', 'right']"
10,right,[21 17],[16 13],Z,bottom right,cyan,20,45.46176242828369,"['down', 'down', 'down', 'right', 'right', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'right']"
11,grip,[10  8],[ 7 10],P,center,green,4,10.128246784210205,"['up', 'grip.', 'right', 'grip']"
12,left,[-11   9],[ 2 11],W,left,magenta,20,34.19390916824341,"['left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left']"
