,last_move,predicted_position,target_position,shape,region,color,steps,time,total_steps_taken
0,grip,[10 12],[10 12],T,center,cyan,5,2.9712040424346924,"['down', 'down', 'right', 'down', 'grip']"
1,down right,[9 9],[15 16],T,bottom right,blue,20,10.630218267440796,"['down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right', 'down right']"
2,grip,[11 10],[11 10],T,center,magenta,4,1.764826774597168,"['right', 'down', 'right', 'grip']"
3,down,[ 8 12],[ 5 15],T,bottom left,magenta,20,10.728888034820557,"['down', 'down', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down']"
4,grip,[15  2],[15  2],Z,top right,blue,19,8.390428304672241,"['right', 'up right', 'up', 'up right', 'right', 'up', 'right', 'up right', 'up right', 'up right', 'up', 'up', 'right', 'right', 'up', 'up', 'right', 'up', 'grip']"
5,grip,[6 8],[6 8],T,center,green,5,2.146347999572754,"['up', 'left', 'left', 'left', 'grip']"
6,grip,[16  5],[16  5],T,top right,yellow,12,4.8872363567352295,"['right', 'right', 'right', 'right', 'right', 'up', 'up', 'right', 'up', 'right', 'up', 'grip']"
7,grip,[3 7],[3 7],T,left,yellow,9,3.7368485927581787,"['left', 'left', 'left', 'up', 'left', 'left', 'up', 'left', 'grip']"
8,grip,[13 11],[13 11],W,right,green,12,5.762326717376709,"['right', 'right', 'right down right', 'right', 'down', 'right down', 'right down', 'right down', 'right down', 'right', 'down', 'grip']"
9,grip,[14  4],[14  4],P,top right,magenta,11,4.717909097671509,"['right', 'right', 'up', 'up', 'right', 'up', 'right', 'right', 'up', 'up', 'grip']"
10,right down right,[11  9],[16 13],Z,bottom right,cyan,20,13.20805311203003,"['right', 'right down right', 'right down right', 'right down right', 'right down right', 'right down right', 'right down right', 'right', 'right down right', 'right down right', 'right down right', 'right down right', 'right down right', 'right down right', 'right down right', 'right down right', 'right down right', 'right down right', 'right down right', 'right down right']"
11,grip,[ 7 10],[ 7 10],P,center,green,4,1.7155563831329346,"['left', 'left', 'down', 'grip']"
12,grip,[ 2 11],[ 2 11],W,left,magenta,11,4.637425661087036,"['left', 'left', 'left', 'left', 'left', 'left', 'left', 'down left', 'down', 'down', 'grip']"
13,grip,[4 4],[4 4],U,top left,magenta,12,5.75106406211853,"['left', 'up', 'left', 'left', 'up', 'up left', 'up', 'left', 'up', 'up', 'left', 'grip']"
14,grip,[11 13],[11 13],W,bottom,cyan,7,2.9979586601257324,"['down', 'down', 'down', 'down', 'right', 'right', 'grip']"
15,grip,[8 5],[8 5],U,top,blue,6,2.53560733795166,"['up', 'up', 'up', 'up', 'left', 'grip']"
16,grip,[ 9 11],[ 9 11],T,center,blue,3,1.3323638439178467,"['down', 'down', 'grip']"
17,grip,[8 9],[8 9],U,center,yellow,2,0.9488849639892578,"['left', 'grip']"
18,right right right right right right right right right right,[12  9],[15 10],X,right,magenta,20,25.44896936416626,"['right', 'right right right right right right right right right right', 'right', 'right right right right right right right right right right', 'right right right right right right right right right right', 'right right right right right right right right right right', 'right right right right right right right right right right', 'right', 'right right down right', 'right right right right right right right right right right', 'right right down right right right right right right right', 'right right right right right right right right right right', 'right right right right right right right right right right', 'right right right right right right right right right right', 'right right right right right right right right right right', 'right right right right right right right right right right', 'right right down right right right right right right right', 'right right right right right right right right right right', 'right right right right right right right right right right', 'right right right right right right right right right right']"
19,down left,[3 9],[ 2 13],W,bottom left,blue,20,9.898457050323486,"['left', 'left', 'left', 'left', 'left down', 'left', 'left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left']"
20,grip,[12  7],[12  7],W,center,red,6,2.6020030975341797,"['up', 'up', 'right', 'right', 'right', 'grip']"
21,grip,[ 6 16],[ 6 16],T,bottom,magenta,18,8.27582836151123,"['down', 'down', 'down', 'down', 'down left', 'down left', 'down left', 'down left', 'down left', 'down left', 'down', 'down left', 'down', 'left', 'down', 'left', 'left', 'grip']"
22,grip,[10 14],[10 14],W,bottom,green,7,2.9642603397369385,"['down', 'down', 'down', 'down', 'down', 'right', 'grip']"
23,grip,[4 9],[4 9],W,left,red,6,2.5467052459716797,"['left', 'left', 'left', 'left', 'left', 'grip']"
24,grip,[ 7 15],[ 7 15],W,bottom,red,9,3.700774908065796,"['down', 'down', 'down', 'down', 'left', 'down', 'left', 'down', 'grip']"
25,grip,[ 8 13],[ 8 13],T,bottom,blue,6,2.517794609069824,"['down', 'down', 'down', 'left', 'down', 'grip']"
26,grip,[15  5],[15  5],U,top right,red,13,5.56604528427124,"['right', 'up right', 'right', 'right', 'up', 'right', 'up right', 'right', 'up', 'up', 'right', 'up', 'grip']"
27,grip,[15  5],[15  5],P,top right,red,13,5.645712614059448,"['right', 'right', 'right', 'up right', 'up right', 'right', 'up', 'up', 'right', 'up', 'right', 'up', 'grip']"
28,grip,[ 7 13],[ 7 13],Z,bottom,yellow,7,2.9686999320983887,"['down', 'down', 'down', 'left', 'down', 'left', 'grip']"
29,grip,[4 6],[4 6],Z,left,green,9,3.8017427921295166,"['left', 'up', 'left', 'left', 'up', 'left', 'left', 'up', 'grip']"
30,grip,[15  5],[15  5],P,top right,red,11,4.481908082962036,"['right', 'right', 'right', 'right', 'up', 'right', 'up', 'up', 'right', 'up', 'grip']"
31,grip,[ 5 13],[ 5 13],P,bottom left,magenta,11,5.083406686782837,"['down left', 'down left', 'left', 'down', 'down', 'down', 'down', 'left', 'left', 'left', 'grip']"
32,grip,[14 10],[14 10],Z,right,green,12,10.577776193618774,"['right', 'right right right right right right right right right right', 'right right right right right right right right right right', 'right right right right right right right right right right', 'right right right right right right right right right right', 'right', 'right', 'right', 'right right down right right down right right right right', 'right', 'down', 'grip']"
33,right,[12  9],[13 11],U,right,yellow,20,12.351627111434937,"['right', 'right down', 'right down right', 'right down right', 'right down', 'right down right', 'right down right', 'right down right', 'right down', 'right', 'right down', 'right down', 'right down', 'right down right', 'right down', 'right down right', 'right down', 'right down down right down right down right down right', 'right down right', 'right']"
34,grip,[6 3],[6 3],T,top,green,10,4.151044607162476,"['up', 'up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'grip']"
35,grip,[ 9 12],[ 9 12],Z,center,cyan,4,1.7011876106262207,"['down', 'down', 'down', 'grip']"
36,grip,[12 11],[12 11],W,center,red,6,2.479727268218994,"['right', 'right', 'down', 'down', 'right', 'grip']"
37,grip,[ 8 12],[ 8 12],W,center,red,5,2.1029653549194336,"['down', 'down', 'down', 'left', 'grip']"
38,grip,[ 9 16],[ 9 16],W,bottom,cyan,8,3.367867946624756,"['down', 'down', 'down', 'down', 'down', 'down', 'down', 'grip']"
39,grip,[ 6 16],[ 6 16],T,bottom,red,14,6.1881372928619385,"['down', 'down', 'down', 'left', 'down', 'down left', 'down', 'down left', 'down left', 'down', 'left', 'left', 'down', 'grip']"
40,grip,[8 6],[8 6],U,center,cyan,5,2.1228182315826416,"['up', 'up', 'up', 'left', 'grip']"
41,grip,[8 3],[8 3],U,top,red,8,3.403189182281494,"['up', 'up', 'up', 'up', 'up', 'up', 'left', 'grip']"
42,grip,[9 4],[9 4],W,top,blue,6,2.600109100341797,"['up', 'up', 'up', 'up', 'up', 'grip']"
43,grip,[9 7],[9 7],X,center,magenta,3,1.3331947326660156,"['up', 'up', 'grip']"
44,grip,[6 7],[6 7],P,center,red,6,2.5700786113739014,"['left', 'up', 'left', 'up', 'left', 'grip']"
45,grip,[7 5],[7 5],W,top,cyan,7,2.9797534942626953,"['up', 'up', 'up', 'left', 'up', 'left', 'grip']"
